Q9UHK0,0.846233990367143,
P12081,1,
P16144,0.906892533746007,
Q8IX12,0.750270629934375,
P02768,1,
P21266,1,
P62988,1,
Q15843,0.981163451140602,
P16083,1,
P00167,1,
Q9NYV4,0.720932521615543,
Q3T906,0.750069584243778,
P08758,1,
P55196,0.693190202113382,
IPI00549466.1,0.602134860913919,
P62937,0.602647488717504,
P02042,0.338741051522334,
P68871,0.994878524635372,
P00915,1,
P69905,1,
Q8WZ42,0.99198696312747,
Q8NG31,0.657422996703438,
Q9UPT8,0.895830205574495,
P06396,1,
P02741,1,
P30988,0.983720485657438,
P02753,1,
P01344,1,
P09211,1,
O60741,0.957710786973755,
P10301,0.971852532972896,
P04040,1,
Q96QT6,0.800311925708453,
P0A9K9,0.510109605267395,
P0A9L0,0.510109605267395,
P0A9L1,0.510109605267395,
P08515,0.937674785613297,
R63165,0.107337149903785,
Q8N3Z6,0.657575845001382,
P61626,1,
P01876,0.609318958196596,
P01877,0.65733466251392,
Q9Y2B0,0.660823407127125,
P0A6N1,0.996476528501979,
P43926,0.999864067319105,
Q5VT06,0.938107909449743,
IPI00025499.1,1,
P10636,0.00249966422401499,
P30043,0.992119258615524,
P01031,1,
Q8TB24,0.894394449859593,
IPI00305719.7,0.634447639251847,
Q13228,0.635054592518734,
P00761,0.978975812184479,
P63279,1,
P10599,1,
Q06830,1,
P00918,1,
P07451,0.285473990850182,
P20160,1,
O14978,0.651782279595652,
Q15697,0.979654823877688,
Q9HBT7,0.986621362502237,
P01127,0.874363968745969,
P01343,0.766599961935288,
P05019,0.438769743025777,
P11145,0.581217217867509,
P08572,0.766244805062107,
P01111,0.0764504055570488,
P01112,1,
P01116,0.122939816227601,
P01375,1,
P48960,0.788188422657995,
P00441,1,
Q9H808,0.949040237138628,
P39060,0.962828538050112,
P02144,1,
P55957,1,
P07339,1,
O00762,1,
P21817,0.862258822490903,
P98160,0.999999721851542,
P51575,0.758500718936635,
P05452,1,
Q9BYD3,0.905324175771289,
Q9Y2U5,0.818394792131802,
P51965,0.996741757951176,
Q969T4,0.363163791892235,
Q96LR5,0.533628489778937,
P21333,0.642386500579333,
P08311,1,
P59190,0.595263457218556,
P0C0L4,0.605863197732772,
P0C0L5,0.607921304755373,
P43004,0.743859028052243,
P01008,1,
P02787,1,
P02788,1,
P06732,1,
P25440,0.614707015378621,
P12035,0.911132463970648,
P15559,0.999999999419351,
Q9HBV1,0.555187038965279,
P41159,1,
Q6UB98,0.67131872277084,
